日期,00692_收盤價,00733_收盤價,00850_收盤價
,00692.TW,00733.TW,00850.TW
2024-01-02,31.76934242248535,51.44707107543945,32.224063873291016
2024-01-03,31.280431747436523,50.90835952758789,31.77227783203125
2024-01-04,31.29998779296875,50.683895111083984,31.726179122924805
2024-01-05,31.182649612426758,51.17771530151367,31.606319427490234
2024-01-08,31.37821388244629,51.17771530151367,31.763059616088867
2024-01-09,31.319543838500977,51.26750183105469,31.726179122924805
2024-01-10,31.192428588867188,51.31239700317383,31.597097396850586
2024-01-11,31.30976676940918,51.53685760498047,31.79072380065918
2024-01-12,31.202205657958984,51.26750183105469,31.698524475097656
2024-01-15,31.202205657958984,51.26750183105469,31.698524475097656
2024-01-16,31.016420364379883,51.67153549194336,31.4495792388916
2024-01-17,30.791522979736328,51.31239700317383,31.12687873840332
2024-01-18,30.91864013671875,50.728790283203125,31.24673843383789
2024-01-19,31.77912139892578,51.043033599853516,32.058101654052734
2024-01-22,31.896459579467773,51.94089126586914,32.316261291503906
2024-01-23,32.013797760009766,52.12046432495117,32.36236572265625
2024-01-24,31.994243621826172,51.80621337890625,32.390018463134766
2024-01-25,32.31692123413086,51.80621337890625,32.62052536010742
2024-01-26,32.31692123413086,51.043033599853516,32.63896942138672
2024-01-29,32.53204345703125,51.716426849365234,32.906341552734375
2024-01-30,32.44403839111328,52.524497985839844,32.869468688964844
2024-01-31,32.09202194213867,51.895999908447266,32.51910400390625
2024-02-01,32.20935821533203,52.34492492675781,32.51910400390625
2024-02-02,32.33647918701172,53.37746047973633,32.73116683959961
2024-02-05,32.45381546020508,53.24278259277344,32.7864875793457
2024-02-15,33.64675521850586,54.769134521484375,33.81913757324219
2024-02-16,33.47074508666992,55.12828063964844,33.75458526611328
2024-02-19,33.45119094848633,54.67934799194336,33.7638053894043
2024-02-20,33.66631317138672,54.67934799194336,33.91132354736328
2024-02-21,33.597862243652344,54.769134521484375,33.791473388671875
2024-02-22,33.812984466552734,55.48741912841797,34.0588493347168
2024-02-23,33.988990783691406,54.814022064208984,34.25247573852539
2024-02-26,34.08677291870117,55.17316818237305,34.3170166015625
2024-02-27,33.930320739746094,54.769134521484375,34.16776657104492
2024-02-29,33.96943664550781,55.21805953979492,34.30767822265625
2024-03-01,33.90098571777344,56.11591720581055,34.233062744140625
2024-03-04,34.61479949951172,57.23823547363281,34.89533615112305
2024-03-05,34.91791915893555,57.776947021484375,35.156517028808594
2024-03-06,35.06459045410156,58.495235443115234,35.35240173339844
2024-03-07,35.74906921386719,57.46269989013672,35.84677505493164
2024-03-08,36.14997100830078,56.16080856323242,36.182579040527344
2024-03-11,35.89573669433594,56.789306640625,36.04265594482422
2024-03-12,36.24775314331055,58.046302795410156,36.443756103515625
2024-03-13,36.39442443847656,57.28313064575195,36.5743408203125
2024-03-14,36.33575439453125,56.34037780761719,36.56501770019531
2024-03-15,36.06196975708008,56.609737396240234,36.303836822509766
2024-03-18,36.218421936035156,57.59737777709961,36.5743408203125
2024-03-19,36.267311096191406,57.23823547363281,36.5277099609375
2024-03-20,36.08152770996094,56.834197998046875,36.397117614746094
2024-03-21,36.932228088378906,57.46269989013672,37.16199493408203
2024-03-22,36.922447204589844,58.0911979675293,37.199310302734375
2024-03-25,36.8637809753418,58.0911979675293,37.17131805419922
2024-03-26,36.971343994140625,56.69952392578125,37.15267562866211
2024-03-27,36.971343994140625,57.1484489440918,37.28325653076172
2024-03-28,36.922447204589844,57.5524787902832,37.31124496459961
2024-03-29,37.118011474609375,57.5524787902832,37.41384506225586
2024-04-01,36.90289306640625,57.911624908447266,37.26460266113281
2024-04-02,37.450469970703125,58.36055374145508,37.75897216796875
2024-04-03,37.14734649658203,58.36055374145508,37.47914123535156
2024-04-08,37.37224578857422,59.078834533691406,37.72166442871094
2024-04-09,38.095829010009766,59.21350860595703,38.327972412109375
2024-04-10,38.03716278076172,59.21350860595703,38.272003173828125
2024-04-11,37.998050689697266,59.34819412231445,38.141414642333984
2024-04-12,37.95893478393555,59.797122955322266,38.057464599609375
2024-04-15,37.61669921875,59.70733642578125,37.6563720703125
2024-04-16,36.46287536621094,58.27077102661133,36.583675384521484
2024-04-17,36.932228088378906,58.89926528930664,36.93812561035156
2024-04-18,37.215797424316406,57.586753845214844,37.24594497680664
2024-04-19,35.6317253112793,55.637962341308594,35.80946350097656
2024-04-22,35.56327819824219,54.176368713378906,35.68819808959961
2024-04-23,35.885963439941406,54.51741409301758,36.02399826049805
2024-04-24,36.81489181518555,56.27132034301758,36.99409866333008
2024-04-25,36.22819519042969,56.0277214050293,36.36913299560547
2024-04-26,36.79533386230469,56.27132034301758,36.95677947998047
2024-04-29,37.401580810546875,56.8072395324707,37.41384506225586
2024-04-30,37.3429069519043,56.75851821899414,37.47914123535156
2024-05-02,36.854000091552734,56.90467834472656,37.10602569580078
2024-05-03,36.981117248535156,56.66108322143555,37.236610412597656
2024-05-06,37.56781005859375,56.953399658203125,37.89889144897461
2024-05-07,37.77315139770508,56.709800720214844,38.02947998046875
2024-05-08,37.831817626953125,56.56364059448242,38.169395446777344
2024-05-09,37.714481353759766,56.22260284423828,38.1320915222168
2024-05-10,38.066497802734375,56.27132034301758,38.42124557495117
2024-05-13,38.34028625488281,55.735408782958984,38.654441833496094
2024-05-14,38.594520568847656,55.78412628173828,38.86898422241211
2024-05-15,38.97587203979492,56.07644271850586,39.31672286987305
2024-05-16,39.210540771484375,56.709800720214844,39.615211486816406
2024-05-17,39.15187454223633,56.514923095703125,39.50183868408203
