Date,Close,Adj Close,Volume
2020-01-02,97.6500015258789,82.74583435058594,4882015
2020-01-03,97.6500015258789,82.74583435058594,6813547
2020-01-06,96.4000015258789,81.68660736083984,9321768
2020-01-07,96.0999984741211,81.4323959350586,6328602
2020-01-08,95.6500015258789,81.05109405517578,8516995
2020-01-09,96.94999694824219,82.15265655517578,7163943
2020-01-10,97.30000305175781,82.44925689697266,9071925
2020-01-13,98.0,83.04241943359375,6650898
2020-01-14,98.5999984741211,83.55083465576172,11544956
2020-01-15,97.5999984741211,82.70346069335938,10259354
2020-01-16,97.30000305175781,82.44925689697266,8686499
2020-01-17,97.30000305175781,82.44925689697266,8121134
2020-01-20,97.69999694824219,82.78819274902344,6969945
2020-01-30,92.1500015258789,78.08528900146484,32262874
2020-01-31,89.94999694824219,78.6977310180664,22497767
2020-02-03,89.05000305175781,77.91030883789062,15823593
2020-02-04,90.5999984741211,79.26641845703125,8904471
2020-02-05,90.8499984741211,79.48513793945312,6701508
2020-02-06,92.30000305175781,80.75375366210938,10696477
2020-02-07,91.19999694824219,79.79135131835938,9554828
2020-02-10,91.0,79.61637115478516,7308908
2020-02-11,91.75,80.27254486083984,5115402
2020-02-12,92.6500015258789,81.0599594116211,5640117
2020-02-13,92.80000305175781,81.19120025634766,5754317
2020-02-14,92.94999694824219,81.32242584228516,4988165
2020-02-17,92.30000305175781,80.75375366210938,6266211
2020-02-18,91.05000305175781,79.66011810302734,12529356
2020-02-19,92.0999984741211,80.57876586914062,7947011
2020-02-20,91.69999694824219,80.22880554199219,6538336
2020-02-21,91.25,79.8351058959961,5401188
2020-02-24,90.0999984741211,78.8289566040039,13571936
2020-02-25,90.3499984741211,79.04766845703125,8840104
2020-02-26,89.44999694824219,78.26026153564453,15081003
2020-02-27,88.6500015258789,77.56034851074219,24688054
2020-03-02,87.3499984741211,76.42295837402344,27894641
2020-03-03,88.5999984741211,77.51659393310547,11071900
2020-03-04,89.19999694824219,78.04153442382812,8437415
2020-03-05,90.19999694824219,78.91644287109375,9785483
2020-03-06,88.3499984741211,77.2978744506836,17096376
2020-03-09,85.8499984741211,75.1106185913086,27734426
2020-03-10,86.30000305175781,75.50431823730469,23784345
2020-03-11,85.30000305175781,74.62940216064453,15306570
2020-03-12,82.1500015258789,71.87345886230469,44910246
2020-03-13,81.0,70.86731719970703,53704860
2020-03-16,77.30000305175781,67.63016510009766,33813951
2020-03-17,74.8499984741211,65.48665618896484,51145832
2020-03-18,72.80000305175781,63.693092346191406,46790503
2020-03-19,68.55000305175781,59.97474670410156,68038340
2020-03-20,74.0,64.74298858642578,40910533
2020-03-23,70.80000305175781,61.94328689575195,22465117
2020-03-24,74.25,64.96170043945312,26756843
2020-03-25,76.8499984741211,67.23646545410156,32687820
2020-03-26,77.19999694824219,67.54268646240234,19215688
2020-03-27,76.5999984741211,67.01773071289062,21953901
2020-03-30,75.8499984741211,66.3615493774414,13605883
2020-03-31,76.1500015258789,66.62403106689453,9764000
2020-04-01,75.9000015258789,66.40531158447266,9948017
2020-04-06,77.05000305175781,67.41145324707031,12207626
2020-04-07,78.5,68.68006134033203,15302038
2020-04-08,79.5999984741211,69.64244842529297,15230698
2020-04-09,79.25,69.33622741699219,15650105
2020-04-10,79.30000305175781,69.37998962402344,5824779
2020-04-13,78.80000305175781,68.94252014160156,7430914
2020-04-14,80.94999694824219,70.82357788085938,13121792
2020-04-15,81.19999694824219,71.04229736328125,17361116
2020-04-16,80.80000305175781,70.69235229492188,12409525
2020-04-17,83.25,72.83586883544922,34532038
2020-04-20,83.0,72.61712646484375,12336416
2020-04-21,80.5999984741211,70.5173568725586,21082454
2020-04-22,80.5999984741211,70.5173568725586,10896151
2020-04-23,80.9000015258789,70.77983093261719,13298948
2020-04-24,80.9000015258789,70.77983093261719,5764752
2020-04-27,82.55000305175781,72.22342681884766,13917724
2020-04-28,82.55000305175781,72.22342681884766,7556661
2020-04-29,83.69999694824219,73.22957611083984,11874079
2020-04-30,85.5,74.80438995361328,18785156
2020-05-04,83.0,72.61712646484375,15648380
2020-05-05,83.4000015258789,72.96708679199219,7810636
2020-05-06,83.5,73.05457305908203,6142593
2020-05-07,83.8499984741211,73.36080169677734,6140995
2020-05-08,84.3499984741211,73.79825592041016,6034013
2020-05-11,85.05000305175781,74.41069030761719,6655422
2020-05-12,84.05000305175781,73.53578186035156,11549365
2020-05-13,84.30000305175781,73.75450897216797,4967165
2020-05-14,83.30000305175781,72.8796157836914,8743268
2020-05-15,83.8499984741211,73.36080169677734,6190781
2020-05-18,83.1500015258789,72.74836730957031,8271703
2020-05-19,83.9000015258789,73.40455627441406,5477775
2020-05-20,83.80000305175781,73.31705474853516,9894141
2020-05-21,84.5,73.92948913574219,7568047
2020-05-22,82.94999694824219,72.57337951660156,13354146
2020-05-25,83.5,73.05457305908203,5250544
2020-05-26,84.44999694824219,73.88573455810547,15454949
2020-05-27,84.3499984741211,73.79825592041016,4589767
2020-05-28,83.8499984741211,73.36080169677734,7476909
2020-05-29,84.44999694824219,73.88573455810547,5320690
2020-06-01,84.9000015258789,74.2794418334961,8365321
2020-06-02,85.30000305175781,74.62940216064453,11947060
2020-06-03,86.80000305175781,75.9417724609375,18117244
2020-06-04,87.5999984741211,76.64167785644531,15036553
2020-06-05,88.3499984741211,77.2978744506836,9916582
2020-06-08,89.5,78.30400085449219,15549542
2020-06-09,89.5999984741211,78.39151000976562,11356579
2020-06-10,90.44999694824219,79.13516998291016,10998897
2020-06-11,89.05000305175781,77.91030883789062,14179192
2020-06-12,88.25,77.21038055419922,21563371
2020-06-15,87.0,76.11674499511719,9573700
2020-06-16,88.9000015258789,77.77908325195312,10841047
2020-06-17,89.0,77.8665542602539,11510236
2020-06-18,88.9000015258789,77.77908325195312,5035751
2020-06-19,88.8499984741211,77.73532104492188,2333985
2020-06-22,89.05000305175781,77.91030883789062,10579456
2020-06-23,89.44999694824219,78.26026153564453,8664889
2020-06-24,90.0,78.7414779663086,10061904
2020-06-29,89.0999984741211,77.95404815673828,9785007
2020-06-30,89.9000015258789,78.65396881103516,8035137
2020-07-01,90.5,79.17890167236328,9979250
2020-07-02,91.5,80.05382537841797,7601474
2020-07-03,92.55000305175781,80.97248077392578,14983163
2020-07-06,94.1500015258789,82.37232208251953,14469339
2020-07-07,94.5,82.67853546142578,13927773
2020-07-08,95.1500015258789,83.24722290039062,11145368
2020-07-09,95.44999694824219,83.50968933105469,7241657
2020-07-10,94.6500015258789,82.80976867675781,11502554
2020-07-13,96.05000305175781,84.03465270996094,12054512
2020-07-14,96.6500015258789,84.55958557128906,13480664
2020-07-15,97.05000305175781,84.90955352783203,21315724
2020-07-16,96.0999984741211,84.07837677001953,7632129
2020-07-17,97.19999694824219,85.04077911376953,18010470
2020-07-20,97.05000305175781,84.90955352783203,9486407
2020-07-21,98.69999694824219,86.98050689697266,24740975
2020-07-22,98.94999694824219,87.20082092285156,7243893
